"","Label","Count","TopArtURL1","TopArtTitle1","TopArtURL2","TopArtTitle2","TopArtURL3","TopArtTitle3","TopArtURL4","TopArtTitle4","TopArtURL5","TopArtTitle5","TopArtURL6","TopArtTitle6","TopArtURL7","TopArtTitle7","TopArtURL8","TopArtTitle8","TopArtURL9","TopArtTitle9","TopArtURL10","TopArtTitle10"
"1",-63,3,"https://www.lewrockwell.com/political-theatre/comrade-obama-blames-slow-climate-change-progress/","Comrade Obama Blames Slow Climate Change Progress","http://www.wynn1063.com/news/fda-received-thousands-of-complaints-linked-to-lasik/","FDA Received Thousands Of Complaints Linked To Lasik","http://www.max94one.com/news/fda-received-thousands-of-complaints-linked-to-lasik/","FDA Received Thousands Of Complaints Linked To Lasik","","","","","","","","","","","","","",""
"2",-62,0,"","","","","","","","","","","","","","","","","","","",""
"3",-61,0,"","","","","","","","","","","","","","","","","","","",""
"4",-60,1,"https://www.hltv.org/forums/threads/1922475/csgo-positive-fucked-me","Forum thread : csgo positive fucked me","","","","","","","","","","","","","","","","","",""
"5",-59,0,"","","","","","","","","","","","","","","","","","","",""
"6",-58,0,"","","","","","","","","","","","","","","","","","","",""
"7",-57,0,"","","","","","","","","","","","","","","","","","","",""
"8",-56,0,"","","","","","","","","","","","","","","","","","","",""
"9",-55,0,"","","","","","","","","","","","","","","","","","","",""
"10",-54,0,"","","","","","","","","","","","","","","","","","","",""
"11",-53,1,"https://1013thebrew.iheart.com/content/2018-10-08-guy-feeds-a-giant-spider-a-snack/","Guy Feeds a Giant Spider a Snack | 101 - 3 The Brew","","","","","","","","","","","","","","","","","",""
"12",-52,1,"http://freerepublic.com/focus/f-news/3706565/posts"," ( Stacey ) Abrams Ends Georgia Bid With Fiery Parting Shot","","","","","","","","","","","","","","","","","",""
"13",-51,0,"","","","","","","","","","","","","","","","","","","",""
"14",-50,4,"https://northplattebulletin.com/electric-outages-planned-while-building-moves/","Electric outages planned while building moves - The North Platte Bulletin","https://support.crs.org/donate/hurricane-strikes-coastal-mexico","HURRICANE STRIKES COASTAL MEXICO","https://www.postandcourier.com/photo_galleries/victims-struggle-to-cope-with-hurricane-michael-aftermath/collection_bcf7d706-d15c-11e8-85fd-37a15870e092.html","Victims struggle to cope with Hurricane Michael aftermath","https://www.hltv.org/forums/threads/1954373/yearly-reminder","Forum thread : yearly reminder","","","","","","","","","","","",""
"15",-49,0,"","","","","","","","","","","","","","","","","","","",""
"16",-48,1,"https://www.mymotherlode.com/news/national/487037/suspect-in-pittsburgh-synagogue-massacre-that-killed-11-pleads-not-guilty-to-federal-murder-hate-crimes-charges.html","Suspect in Pittsburgh synagogue massacre that killed 11 pleads not guilty to federal murder , hate crimes charges","","","","","","","","","","","","","","","","","",""
"17",-47,0,"","","","","","","","","","","","","","","","","","","",""
"18",-46,1,"https://www.newhavenindependent.org/index.php/archives/entry/todays_debates396/","Today Debates | New Haven Independent","","","","","","","","","","","","","","","","","",""
"19",-45,11,"http://www.theprogressnews.com/news/national/suspect-in-pittsburgh-synagogue-massacre-that-killed-pleads-not-guilty/article_82ab14a9-0c0a-5ef4-acf1-4528db4eddb2.html","Suspect in Pittsburgh synagogue massacre that killed 11 pleads not guilty to federal murder , hate crimes charges","https://www.nptelegraph.com/news/national_news/suspect-in-pittsburgh-synagogue-massacre-that-killed-pleads-not-guilty/article_d63370ac-d342-53a9-aa04-e491d9d37516.html","Suspect in Pittsburgh synagogue massacre that killed 11 pleads not guilty to federal murder , hate crimes charges","https://www.dailyamerican.com/news/nation/suspect-in-pittsburgh-synagogue-massacre-that-killed-pleads-not-guilty/article_23dae2e8-1445-5969-9310-ca11ff23de5f.html","Suspect in Pittsburgh synagogue massacre that killed 11 pleads not guilty to federal murder , hate crimes charges","http://www.bradfordera.com/news/nation/suspect-in-pittsburgh-synagogue-massacre-that-killed-pleads-not-guilty/article_c489d8f1-149c-590e-aa23-040624669579.html","Suspect in Pittsburgh synagogue massacre that killed 11 pleads not guilty to federal murder , hate crimes charges","https://www.idahostatejournal.com/news/national/suspect-in-pittsburgh-synagogue-massacre-that-killed-pleads-not-guilty/article_380d316c-c284-52d4-ad6a-e0befec6110b.html","Suspect in Pittsburgh synagogue massacre that killed 11 pleads not guilty to federal murder , hate crimes charges","https://www.seattletimes.com/nation-world/suspect-in-pittsburgh-synagogue-massacre-that-killed-11-pleads-not-guilty-to-federal-murder-hate-crimes-charges/","Suspect in Pittsburgh synagogue massacre that killed 11 pleads not guilty to federal murder , hate crimes charges","https://www.roanoke.com/news/nation/wire/suspect-in-pittsburgh-synagogue-massacre-that-killed-pleads-not-guilty/article_beaa4322-34e0-5257-b98c-7d7e878ca0d1.html","Suspect in Pittsburgh synagogue massacre that killed 11 pleads not guilty to federal murder , hate crimes charges","https://www.galvnews.com/news_ap/nation/article_296e0c2e-1651-5f08-baef-65311b568607.html","Suspect in Pittsburgh synagogue massacre that killed 11 pleads not guilty to federal murder , hate crimes charges","http://www.elpasoinc.com/news/ap_wire/us/suspect-in-pittsburgh-synagogue-massacre-that-killed-pleads-not-guilty/article_cac7c34b-662a-5985-8382-04dd5cf8b59f.html","Suspect in Pittsburgh synagogue massacre that killed 11 pleads not guilty to federal murder , hate crimes charges","https://www.oanow.com/apwire/news/national/suspect-in-pittsburgh-synagogue-massacre-that-killed-pleads-not-guilty/article_bc00ce1a-3815-5be5-b133-2ee5ec9138df.html","Suspect in Pittsburgh synagogue massacre that killed 11 pleads not guilty to federal murder , hate crimes charges"
"20",-44,0,"","","","","","","","","","","","","","","","","","","",""
"21",-43,1,"https://www.moddb.com/mods/outstrike/news/update-2133","Update 2 news - OutStrike mod for Half - Life 2","","","","","","","","","","","","","","","","","",""
"22",-42,3,"https://www.realclearpolitics.com/2018/12/18/top_10_worst_helicopter_parenting_moments_of_2018_461460.html","Top 10 Worst Helicopter Parenting Moments of 2018","https://www.redcuprebellion.com/2018/11/22/18108392/fuck","Fuck - Red Cup Rebellion","https://rock947.com/music/track/20-watt-tombstone/lair-of-the-swamp-witch/","Lair of the Swamp Witch - 20 Watt Tombstone - Music | Rock 94 . 7 WOZZ | Wausau , Stevens Point","","","","","","","","","","","","","",""
"23",-41,0,"","","","","","","","","","","","","","","","","","","",""
"24",-40,4,"https://es.ign.com/overkills-the-walking-dead","Overkill The Walking Dead","http://merlefm.com/protesters-gather-against-sessions-firing/","Protesters gather against Sessions firing – 96 . 7 Merle FM – WMYL – Knoxville , TN","https://boingboing.net/2018/12/21/let-them-eat-cake-2.html","Facing unpaid overtime , cuts and austerity , French cops threaten to join Gilets Jaunes protesters","https://pt.ign.com/the-walking-dead-starbreeze-project","Overkill The Walking Dead","","","","","","","","","","","",""
"25",-39,5,"http://www.shelbyvilledailyunion.com/cnhi_network/ny-limo-accident-victims-died-of-multiple-severe-traumatic-blunt/image_7c538dbe-ff4e-510e-a02e-8a7dfb811fea.html","NY limo accident victims died of  multiple severe traumatic blunt force injuries , autopsy says | Dont Miss This","http://www.dailypress.com/visuals/photography/nydn-residents-prepare-for-hurricane-michael-s-impact-20181009-photogallery.html","Residents prepare for Hurricane Michael impact","http://www.nampa.org/index.php?model=categories&function=display&id=18592858","Namibia Press Agency","https://tucson.com/opinion/letters/politics-national/letter-an-alphabetic-litany-of-words-to-describe-mr-trump/article_a3269c60-e1ef-11e8-b9ce-bfdc3982b7b1.html","Letter : An alphabetic litany of words to describe Mr . Trump","http://www.blogtalkradio.com/freedomizerradio/2018/10/30/politics-and-prophecy-with-chris-levelsalex-newman--ellis-washington","Politics and Prophecy with Chris Levels / Alex Newman - Ellis Washington 10 / 30 by FreedomizerRadio","","","","","","","","","",""
"26",-38,7,"https://www.huffingtonpost.com/entry/opinion-america-death-penalty-crisis_us_5bf5a203e4b0eb6d930b1201","America Is In The Middle Of A Death Penalty Crisis","https://www.wktv.com/weather/blog/","Weather Blog","https://www.metal-archives.com/bands/Chronic_Infection/3540447631","Chronic Infection - Encyclopaedia Metallum : The Metal Archives","https://www.lewrockwell.com/political-theatre/gun-owner-saves-missouri-mother-of-3/","Gun owner saves Missouri mother of 3","http://www.allmediany.com/articles/66707-la-liga-barca-suffer-messi-injury-scare","La Liga : Barca Suffer Messi Injury Scare - F S Videos","https://www.realclearpolitics.com/2018/10/11/false_accusations_are_evil--there_must_be_consequences_455773.html","False Accusations Are Evil -- There Must Be Consequences","http://wisdomsave.com/2018/10/08/bulgaria-shocked-by-brutal-rape-murder-of-journalist.html","Bulgaria Shocked by Brutal Rape , Murder of Journalist Viktoria Marinova","","","","","",""
"27",-37,17,"https://thecourier.com/ohio-news/2018/10/10/ohio-man-awaiting-trial-in-grandsons-fatal-shooting-dies/","Ohio man awaiting trial in grandson fatal shooting dies","https://www.desertsun.com/picture-gallery/news/politics/immigration/2018/11/15/violence-breaks-out-tijuana-residents-confront-migrants/2009786002/","Violence breaks out as Tijuana residents confront migrants . ","https://www.realclearpolitics.com/2018/11/11/why_can039t_we_get_it_right_when_serving_veterans_458830.html","Why Cant We Get It Right When Serving Veterans ? ","http://www.comicbookdb.com/character.php?ID=95222","Robert Walton - Comic Book DB","https://scholarsandrogues.com/2018/10/31/","October 31 , 2018 – Progressive Culture | Scholars & Rogues","http://www.pauldavisoncrime.com/search/label/Victor%20Fiorillo","Paul Davis On Crime : Victor Fiorillo","http://www.pauldavisoncrime.com/search/label/The%20American%20Spectator","Paul Davis On Crime : The American Spectator","http://www.pauldavisoncrime.com/search/label/Beirut%20Rules:%20The%20Murder%20of%20a%20CIA%20Station%20Chief%20and%20Hezbollah","Paul Davis On Crime : Beirut Rules : The Murder of a CIA Station Chief and Hezbollah","http://www.pauldavisoncrime.com/search/label/No","Paul Davis On Crime : No","http://www.pauldavisoncrime.com/search/label/90%20people%20arrested%20in%20raids%20on","Paul Davis On Crime : 90 people arrested in raids on"
