"","Label","Count","TopArtURL1","TopArtTitle1","TopArtURL2","TopArtTitle2","TopArtURL3","TopArtTitle3","TopArtURL4","TopArtTitle4","TopArtURL5","TopArtTitle5","TopArtURL6","TopArtTitle6","TopArtURL7","TopArtTitle7","TopArtURL8","TopArtTitle8","TopArtURL9","TopArtTitle9","TopArtURL10","TopArtTitle10"
"19",-36,9,"https://www.nampa.org/index.php?model=categories&function=display&id=20339212","Namibia Press Agency","https://www.sandiegouniontribune.com/news/nation-world/story/2020-10-06/germany-chemical-weapons-watchdog-confirms-russian-opposition-leader-navalny-victim-of-nerve-agent-attack","Germany : Chemical weapons watchdog confirms Russian opposition leader Navalny victim of nerve agent attack","https://www.npr.org/2020/09/25/916807265/coroners-under-pressure-as-pandemic-brings-budget-cuts","Coroners Under Pressure As Pandemic Brings Budget Cuts","https://www.nampa.org/index.php?model=categories&function=display&id=20449485","Namibia Press Agency","https://www.balloon-juice.com/2020/08/22/respite-open-thread-you-do-the-crime/","Balloon Juice | Respite Open Thread : You Do The Crime","http://www.gratefulweb.com/topics/gathering-time","Gathering Time | Grateful Web","http://www.allmediany.com/articles/79455-roy-jones-angered-over-delay-in-mike-tyson-fight-threatens-withdrawal","AllmediaNY","https://www.nampa.org/index.php?model=categories&function=display&id=20324525","Namibia Press Agency","https://www.msn.com/en-ae/news/other/oman-man-gets-10-year-prison-sentence-for-money-laundering/ar-BB17eJeI","Oman : Man gets 10 year prison sentence for money laundering","",""
"20",-35,8,"https://www.hltv.org/forums/threads/2356291/final-scene-cuties","Forum thread : final scene cuties","https://www.whas11.com/article/news/crime/joseph-oberhansley-begins-in-indiana-sept-11/417-7382ac6d-70f7-44c8-bddf-87a04dc634af","Alleged Indiana cannibal Joseph Oberhansley trial begins","https://www.hltv.org/matches/2343635/og-vs-ago-esl-pro-league-season-12-europe","OG vs . AGO at ESL Pro League Season 12 Europe","http://freerepublic.com/focus/f-news/3890682/posts","Russia May Sell Advanced Anti - Air Missiles to Iran After UN Embargo Expires on Oct . 18 Despite U . S . Threats : Ambassador","http://freerepublic.com/focus/f-chat/3891168/posts","Joe Biden CANT COME BACK From This ... JOE IS FINISHED ! How Is This EVEN REAL ?? ","http://freerepublic.com/focus/f-bloggers/3891899/posts","JUST IN : Pelosi Announces Commission to Review the Health and Fitness of President Trump for Office -- FULL TEXT OF BILL","http://freerepublic.com/focus/f-bloggers/3892493/posts","Harvard Student Newspaper FURIOUS Over Campus Republicans Endorsing Trump","https://journaltimes.com/news/local/crime-and-courts/mugshots-racine-county-criminal-complaints-july-15/collection_3f3d1dd3-be20-56c3-9f3f-884e3de394c4.html","Mugshots : Racine County criminal complaints , July 15","","","",""
"21",-34,20,"https://www.realclearpolitics.com/2020/09/01/the_streets_of_kenosha_and_the_national_stage_522083.html","The Streets of Kenosha and the National Stage","https://www.max94one.com/news/black-man-dies-from-cops-putting-hood-on-his-head/","Black Man Dies From Cops Putting Hood On His Head","https://www.flickeringmyth.com/2020/08/comic-book-preview-zombie-tramp-71/","Comic Book Preview - Zombie Tramp # 71","https://www.nytimes.com/2020/08/06/business/economy/unemployment-claims.html","New Unemployment Claims Decline , but Remain  Alarmingly High  ","https://www.nytimes.com/2020/08/07/opinion/letters/portland-police.html","Opinion | Police Violence in Portland Protests","https://www.max94one.com/news/ferguson-cops-block-activists-from-painting-mike-brown-mural/","Ferguson Cops Block Activists From Painting Mike Brown Mural","https://www.wynn1063.com/news/ferguson-cops-block-activists-from-painting-mike-brown-mural/","Ferguson Cops Block Activists From Painting Mike Brown Mural","https://www.nytimes.com/2020/08/12/world/americas/Mexico-Pena-Nieto-bribes.html","Mexico Former President Accused in Bribery Scandal","https://www.wdkx.com/three-men-arrested-for-trying-to-intimidate-women-linked-to-r-kelly-upcoming-case/","Three Men Arrested For Trying To Intimidate Women Linked To R . Kelly Upcoming Case","https://abcnews.go.com/International/wireStory/germany-chemical-weapons-watchdog-confirms-russian-opposition-leader-73451489","Germany : Chemical weapons watchdog confirms Russian opposition leader Navalny victim of nerve agent attack"
"22",-33,8,"https://www.whas11.com/article/news/local/indiana/wildlife-in-need-founder-tim-stark-charges-criminal-animals/417-afb6b492-3ba7-4d55-bd3d-2a3f33fd0c84","Wildlife in Need Tim Stark facing criminal charges","https://tulsaworld.com/news/local/history/timeline-the-murder-case-tulsa-businessman-neal-sweeney-who-was-killed-on-this-day-in/collection_27db16ca-e8c9-58bf-ae53-3a5b425fa6d8.html","Timeline : The murder case Tulsa businessman Neal Sweeney , who was killed on this day in 2008","https://www.ypradio.org/2020-09-25/coroners-under-pressure-as-pandemic-brings-budget-cuts","Coroners Under Pressure As Pandemic Brings Budget Cuts","https://www.kasu.org/2020-09-25/coroners-under-pressure-as-pandemic-brings-budget-cuts","Coroners Under Pressure As Pandemic Brings Budget Cuts","https://journaltimes.com/news/local/crime-and-courts/mugshots-racine-county-criminal-complaints-july-28/collection_d967074a-7e76-5924-ad65-6fa8fa8a5c70.html","Mugshots : Racine County criminal complaints , July 28","https://journaltimes.com/news/local/crime-and-courts/mugshots-racine-county-criminal-complaints-sept-14/collection_78eafdaf-a69c-59ac-a0be-8d0ba4aba948.html","Mugshots : Racine County criminal complaints , Sept . 14","http://freerepublic.com/focus/f-news/3876075/posts","Conservative pundit S . E . Cupp names the quality that convinced her to vote Biden","https://everything2.com:443/title/offensive","offensive - Everything2 . com","","","",""
"23",-32,18,"http://humanitariannews.org/20200803/city-shackled-how-beijing-s-security-law-transformed-hong-kong-one-short-month","A city shackled : How Beijing security law transformed Hong Kong in one short month","https://www.nytimes.com/reuters/2020/08/05/world/middleeast/05reuters-lebanon-security-blast.html","Toll Expected to Rise in Blast That Shook Beirut , Killing 78 and Injuring Thousands","https://www.nampa.org/index.php?model=categories&function=display&id=20353750","Namibia Press Agency","http://freerepublic.com/focus/f-chat/3865400/posts","Still no word on Kim Foxx handling of the Jussie Smollett case","https://boingboing.net/2020/09/01/how-to-defend-genocidal-dictat.html","How to defend genocidal dictators , serial killers , and other evil people with conservative FACTS and LOGIC","https://www.popsci.com/story/environment/hurricane-evacuation-politicized-trump/","Political rhetoric may impact your hurricane preparedness","https://www.wzzm13.com/article/news/health/cancer-screenings-down-during-covid/69-f26dc1c3-ab98-4c2b-9271-29f96f1aac9f","Sharp decline in cancer detections during pandemic is cause for concern","https://www.hltv.org/forums/threads/2362460/ban-hard-legion","Forum thread : Ban Hard Legion","https://www.wtsp.com/article/news/crime/man-accused-of-illegally-detaining-black-teen/67-2f01007f-5cf7-46ee-a92a-4635070902b1","Man accused of illegally detaining Black teen arraigned","https://www.abc10.com/article/news/local/wildfire/lnu-lightning-complex-fire-august-28-2020/103-9acd0e58-8e0d-4005-972f-6fb333d0857e","LNU Lightning Complex fire : Maps and latest evacuation news"
"24",-31,16,"https://trib.com/news/local/what-you-missed-this-week-in-notable-wyoming-crimes-and-court-cases/collection_30a52a1b-6156-58ee-b507-de5b1bd52d4a.html","What you missed this week in notable Wyoming crimes and court cases","https://www.nytimes.com/2020/10/05/us/kaitlyn-yozviak-severe-lice-coronavirus.html","Parents Face Murder Charge in Death of Girl With Severe Lice","https://www.kgmo.com/news/eddie-van-halen-dead-at-65/","Eddie Van Halen Dead at 65","https://www.courierpostonline.com/story/news/2020/10/08/benjamin-daye-barbershop-robbery-man-held-boy-at-gunpoint/5926155002/","Benjamin Daye allegedly robbed an East Camden shop after leaving prison","https://journaltimes.com/news/local/crime-and-courts/mugshots-racine-county-criminal-complaints-sept-21/collection_f08607e3-e15d-51d7-a8fd-3d01d753bf0e.html","Mugshots : Racine County criminal complaints , Sept . 21","https://www.ksl.com/article/50004140/protesters-security-forces-clash-in-lebanese-capital-following-deadly-explosion","Protesters , security forces clash in Lebanese capital following deadly explosion","http://www.mobypicture.com/user/Prestwickuk/view/449946","And this is the left hand side of my right ankle @ julesrivera","https://www.nampa.org/index.php?model=categories&function=display&id=20296835","Namibia Press Agency","https://auburnpub.com/news/local/what-you-missed-this-week-in-notable-auburn-and-cayuga-county-crimes-and-court-cases/collection_df14175b-7ad9-5875-a222-2150d79aff1d.html","What you missed this week in notable Auburn and Cayuga County crimes and court cases","https://www.nytimes.com/2020/09/17/us/politics/fbi-russian-interference-white-supremacist-violence.html","F . B . I . Director Warns of Russian Interference and White Supremacist Violence"
"25",-30,73,"https://www.max94one.com/news/dak-prescott-calls-for-release-of-black-death-row-inmate/","Dak Prescott Calls For Release Of Black Death Row Inmate","https://www.wynn1063.com/news/dak-prescott-calls-for-release-of-black-death-row-inmate/","Dak Prescott Calls For Release Of Black Death Row Inmate","https://www.kare11.com/article/news/crime/lois-riess-pleads-guilty-to-killing-her-husband/89-6d80fcbc-41e0-466c-96f8-b633737fd2a1","Lois Riess pleads guilty to killing her husband","https://www.realclearpolitics.com/2020/08/02/trump_badly_miscalculated_with_portland_authoritarianism_518960.html","Trump Badly Miscalculated With Portland Authoritarianism","https://www.kxly.com/i/ca-military-identifies-victims-in-usmc-accident/","CA : MILITARY IDENTIFIES VICTIMS IN USMC ACCIDENT","https://www.nytimes.com/reuters/2020/08/07/world/middleeast/07reuters-egypt-harassment.html","Egypt Sex Assault Accusations Spotlight Social Stigmas","https://www.usatoday.com/videos/news/nation/2020/09/09/two-face-federal-charges-amid-nightly-protests/5765419002/","Two face federal charges amid nightly protests","https://dailyjournalonline.com/news/local/july-27-recap-parkland-news-you-may-have-missed-today/collection_063a72db-288a-5650-bd5b-01f984f37405.html","July 27 recap : Parkland news you may have missed today","https://dailyjournalonline.com/news/local/what-you-missed-this-week-in-notable-parkland-crimes-and-court-cases/collection_6d22ac97-4b9e-5c7d-8211-b9af5de26cbd.html","What you missed this week in notable Parkland crimes and court cases","https://www.nampa.org/index.php?model=categories&function=display&id=20320927","Namibia Press Agency"
"26",-29,64,"https://www.nampa.org/index.php?model=categories&function=display&id=20305349","Namibia Press Agency","https://www.kgmo.com/news/don-dokken-says-he-cant-play-guitar-anymore/","Don Dokken Says He  Cant Play Guitar Anymore  ","https://www.nytimes.com/2020/07/20/us/coronavirus-palm-springs-hiv-survivors.html","H . I . V . Survivors Confront Painful Memories and New Risks in Pandemic","https://www.1077theeagle.com/2020/07/20/don-dokken-says-he-cant-play-guitar-anymore/","Don Dokken Says He  Cant Play Guitar Anymore  ","http://www.great98.net/2020/07/20/don-dokken-says-he-cant-play-guitar-anymore/","Don Dokken Says He  Cant Play Guitar Anymore  ","https://www.nytimes.com/2020/08/30/opinion/trump-white-fear-2020.html","Opinion | Trump , Vicar of Fear and Violence","https://www.nytimes.com/reuters/2020/09/02/world/europe/02reuters-health-coronavirus-steroids.html","Steroids Cut Death Rates Among Critically Ill COVID - 19 Patients , Major Study Finds","https://lacrossetribune.com/news/local/september-1-2010-in-la-crosse-tribune/collection_2266e9bb-9f0d-5138-87b5-1276f4281d5a.html","September 1 , 2010 in La Crosse Tribune","http://freerepublic.com/focus/f-news/3880191/posts","California DA Says Cops Must Consider if Looters  Needed  Stolen Property Before They Can Charge Them With Looting","https://lacrossetribune.com/news/local/september-1-2010-in-la-crosse-tribune/collection_7d37360e-c2dc-573f-ae71-5a9c12fde9b7.html","September 1 , 2010 in La Crosse Tribune"
"27",-28,111,"https://www.9and10news.com/i/illinois-teen-charged-in-fatal-shootings-of-2-during-kenosha-protests-fights-return-to-wisconsin/","Illinois teen charged in fatal shootings of 2 during Kenosha protests fights return to Wisconsin","https://abcnews.go.com/US/wireStory/lone-detective-indicted-kentucky-grand-jury-fatal-shooting-73297639","Lone detective indicted by Kentucky grand jury in fatal shooting of Breonna Taylor pleads not guilty","https://www.voanews.com/covid-19-pandemic/dutch-students-work-hard-keep-virus-out-shared-houses","Dutch Students Work Hard To Keep Virus Out of Shared Houses","https://www.wfmynews2.com/article/news/crime/hillsborough-county-arson-church/67-0aca783b-46e9-4b47-805e-56649bf86403","Arsonist sets fire to Catholic Church in Hillsborough County","https://www.detroitnews.com/story/news/nation/2020/09/30/man-charged-shooting-los-angeles-county-deputies/114175346/","Man charged in shooting of 2 Los Angeles County deputies","http://freerepublic.com/focus/f-news/3881802/posts","CNN Host :  Sadly , Michael Cohen Allegations Might Not Hurt Trump","https://www.investmentwatchblog.com/william-barr-opens-150-federal-investigations-and-arrests-2000-as-legend-expands-to-nine-states/","William Barr Opens 150 Federal Investigations and Arrests 2 , 000 as Legend Expands to Nine States – Investment Watch","https://www.suasnews.com/2020/09/as-fires-spread-in-california-airobotics-drones-enable-quick-emergency-response/","As fires spread in California , Airobotic drones enable quick emergency response - sUAS News","https://www.nytimes.com/reuters/2020/09/08/world/middleeast/08reuters-health-coronavirus-israel.html","Israel Imposes Week - Long Restrictions on Coronavirus Contagion Zones","https://www.hltv.org/matches/2343655/complexity-vs-fnatic-esl-pro-league-season-12-europe","Complexity vs . fnatic at ESL Pro League Season 12 Europe"
"28",-27,114,"https://www.fox43.com/article/news/crime/police-make-arrests-at-gettysburg-protests/521-d2dbab01-a5f5-4b31-b3a0-4b22d3e43bf7","Police make arrests at Gettysburg protests","https://www.whas11.com/article/news/crime/lori-vallow-plea-missing-kids-jj-tylee-trial-arraignment/277-335f4903-5656-466e-9225-dea13f34c332","Lori Vallow pleads not guilty to conspiracy charges","https://www.5newsonline.com/article/news/crime/lori-vallow-plea-missing-kids-jj-tylee-trial-arraignment/277-335f4903-5656-466e-9225-dea13f34c332","Lori Vallow pleads not guilty to conspiracy charges","https://www.nampa.org/index.php?model=categories&function=display&id=20541351","Namibia Press Agency","https://www.cinemablend.com/title/2549843/the-grudge-2020","The Grudge ( 2020 ) ","https://www.fox61.com/article/news/crime/lori-vallow-plea-missing-kids-jj-tylee-trial-arraignment/277-335f4903-5656-466e-9225-dea13f34c332","Lori Vallow pleads not guilty to conspiracy charges","https://www.aljazeera.com/program/inside-story/2020/10/8/can-widening-income-inequality-ever-be-bridged/","Can widening income inequality ever be bridged ? ","https://www.andhrajyothy.com/telugunews/two-terrorists-gunned-down-in-encounter-in-kulgam-2020101008050379","కుల్గాంలో ఎన్‌కౌంటర్ .. ఇద్దరు ఉగ్రవాదులు హతం","https://www.news8000.com/i/esper-beirut-blast-a-tragedy-reported-accident/","ESPER : BEIRUT BLAST A TRAGEDY , REPORTED ACCIDENT","https://nclawyersweekly.com/2020/08/03/criminal-practice-sentencing-prior-record-level-habitual-felon-indictment/","Criminal Practice – Sentencing – Prior Record Level – Habitual Felon Indictment – North Carolina Lawyers Weekly"
